Timestamp,Age,Gender,School Level,"What is the size of your class?
(Please enter the total number of students in your class.)",How supportive is your family? ,"How much support do you get from your siblings?
",  How often is there conflict at home?  ,Do your parents monitor your schoolwork and activities?,How many close friends do you have at school?,How much support do you get from your friends?,How supportive are your teachers?,Is there a system for reporting bullying at your school,Do teachers supervise students properly in class and during recess?,How safe do you feel at school?,How stressed do you feel at school,How would you rate your self-esteem/confidence?,How often do you feel lonely at school?,How often do you use social media?,Have you ever been bullied at school,"If yes, what type of bullying have you experienced? (Select all that apply)  ",How often have you experienced this bullying? , What do you usually do when someone bullies you? (Select all that apply)
11/1/2025 19:55:45,22,Female,College/Pre-University/University,8,High,Often,Often,Sometimes,3-5,Sometimes,Low,Yes,Sometimes,Slightly safe,High,Low,Sometimes,more than 5 hours,Yes,Relational / Social,Sometimes,Tell a parent or family member
11/1/2025 21:10:20,19,Female,College/Pre-University/University,14,High,Often,Sometimes,Not at all,3-5,Sometimes,Low,No,Never,Not safe at all,Very Low,Very Low,Often,1-2 hours,Yes,Physical,Sometimes,Ignore it/keep it to myself
11/1/2025 21:12:41,18,Female,Secondary School,33,High,Always,Often,Often,More than 5,Always,Low,Yes,Often,Not safe at all,High,High,Sometimes,more than 5 hours,Yes,Physical,Rarely,"Tell a teacher or counsellor, Tell a friend"
11/1/2025 21:45:55,22,Female,College/Pre-University/University,15,Very High,Always,Sometimes,Not at all,1-2,Often,Very High,Yes,Often,Very safe,Low,High,Sometimes,3-5 hours,No,,,
11/1/2025 22:07:10,22,Female,College/Pre-University/University,130,Very High,Always,Sometimes,Sometimes,3-5,Always,High,Not sure,Never,Slightly safe,Very High,Low,Never,more than 5 hours,No,,,
11/2/2025 12:31:12,23,Female,College/Pre-University/University,80,Very High,Often,Sometimes,Sometimes,More than 5,Sometimes,High,Yes,Sometimes,Safe,Low,Very High,Sometimes,more than 5 hours,No,,,
11/2/2025 13:56:39,22,Female,College/Pre-University/University,30,Low,Sometimes,Sometimes,Sometimes,1-2,Sometimes,Low,Not sure,Often,Safe,Very High,High,Sometimes,more than 5 hours,No,,,
11/2/2025 19:33:40,21,Female,College/Pre-University/University,100,Low,Sometimes,Sometimes,Not at all,3-5,Sometimes,High,Yes,Often,Safe,Low,Low,Sometimes,more than 5 hours,No,,,
11/2/2025 20:55:08,22,Male,College/Pre-University/University,14,Low,Sometimes,Often,Not at all,3-5,Often,Low,Yes,Sometimes,Slightly safe,High,Very Low,Sometimes,more than 5 hours,No,,,
11/2/2025 23:37:26,24,Male,College/Pre-University/University,30,Very High,Often,Sometimes,Sometimes,3-5,Often,High,Yes,Sometimes,Safe,Low,Low,Sometimes,more than 5 hours,No,,,
11/3/2025 11:58:27,25,Female,Secondary School,73,High,Always,Sometimes,Sometimes,3-5,Sometimes,High,Yes,Sometimes,Very safe,High,Very High,Sometimes,more than 5 hours,No,,,
